final_status,github_id,github_node_id,github_owner,github_name,github_url,github_created_at,github_updated_at,github_pushed_at,github_size,github_stargazers_count,github_language,github_has_issues,github_has_projects,github_has_downloads,github_has_wiki,github_has_pages,github_has_discussions,github_forks_count,github_mirror_url,github_archived,github_disabled,github_open_issues_count,github_license,github_allow_forking,github_is_template,github_web_commit_signoff_required,github_forks,github_open_issues,github_watchers,github_default_branch,github_permissions_admin,github_permissions_maintain,github_permissions_push,github_permissions_pull,apache_Name,apache_Sublink,apache_Github_link,apache_Project_status,incubator_id,incubator_href,incubator_type,incubator_Apache Sponsor,incubator_Mentors,incubator_Start Date,incubator_End Date,incubator_github_link1,incubator_github_link2,incubator_github_link3,incubator_github_link4,incubator_github_link5,incubator_github_link6,incubator_github_link7,incubator_github_link8,incubator_github_link9,incubator_github_link10,incubator_github_link11,incubator_github_link12,incubator_github_link13,incubator_gitbox_link1,incubator_gitbox_link2,incubator_gitbox_link3,incubator_gitbox_link4,incubator_gitbox_link5,incubator_gitbox_link6,incubator_gitbox_link7,incubator_gitbox_link8,incubator_gitbox_link9,incubator_gitbox_link10
0.0,4985530.0,MDEwOlJlcG9zaXRvcnk0OTg1NTMw,apache,tashi,https://github.com/apache/tashi,2012-07-11T07:00:13Z,2023-07-25T13:45:18Z,2018-12-10T17:04:56Z,835.0,9.0,Python,False,True,True,False,False,False,7.0,,False,False,2.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,7.0,2.0,9.0,trunk,False,False,False,True,,,,,tashi,/projects/tashi.html,Retired Podlings,Incubator,"Matthieu Riou, Craig Russell",2008-09-04,2012-10-02,,,,,,,,,,,,,,,,,,,,,,,
0.0,205415.0,MDEwOlJlcG9zaXRvcnkyMDU0MTU=,apache,chainsaw,https://github.com/apache/chainsaw,2009-05-20T02:00:33Z,2023-09-25T19:33:01Z,2022-07-08T18:14:36Z,2704.0,18.0,Java,False,True,True,False,False,False,19.0,,True,False,2.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,19.0,2.0,18.0,trunk,False,False,False,True,Apache Chainsaw,project.html?logging-chainsaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,832674.0,MDEwOlJlcG9zaXRvcnk4MzI2NzQ=,apache,photark,https://github.com/apache/photark,2010-08-12T03:32:41Z,2024-06-06T04:08:39Z,2023-02-22T01:10:17Z,3134.0,10.0,HTML,False,True,True,False,False,False,5.0,,False,False,5.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,5.0,5.0,10.0,trunk,False,False,False,True,,,,,photark,/projects/photark.html,Retired Podlings,Incubator,Luciano Resende,2008-08-19,2012-12-29,,,,,,,,,,,,,,,,,,,,,,,
0.0,2719141.0,MDEwOlJlcG9zaXRvcnkyNzE5MTQx,apache,kalumet,https://github.com/apache/kalumet,2011-11-06T07:00:10Z,2022-06-28T19:48:18Z,2023-04-14T18:53:19Z,6836.0,7.0,Java,False,True,True,False,False,False,5.0,,False,False,8.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,5.0,8.0,7.0,trunk,False,False,False,True,,,,,kalumet,/projects/kalumet.html,Retired Podlings,Incubator,"Jim Jagielski, Henri Gomez, Jean-Baptiste Onofré, Olivier Lamy",2011-09-20,2015-11-01,,,,,,,,,,,,,,,,,,,,,,,
0.0,13824900.0,MDEwOlJlcG9zaXRvcnkxMzgyNDkwMA==,apache,sirona,https://github.com/apache/sirona,2013-10-24T07:00:14Z,2024-08-23T01:56:33Z,2024-04-18T17:09:29Z,6855.0,110.0,JavaScript,False,True,True,False,False,False,46.0,,False,False,11.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,46.0,11.0,110.0,trunk,False,False,False,True,,,,,sirona,/projects/sirona.html,Retired Podlings,Incubator(Olivier Lamy),"Jean-Baptiste Onofré, Tammo van Lessen, Mark Struberg",2013-10-15,2017-07-03,,,,,,,,,,,,,,,,,,,,,,,
0.0,33397227.0,MDEwOlJlcG9zaXRvcnkzMzM5NzIyNw==,apache,incubator-myriad,https://github.com/apache/incubator-myriad,2015-04-04T07:00:05Z,2024-11-28T16:30:55Z,2023-07-11T00:35:27Z,11984.0,154.0,Java,False,True,True,False,False,False,68.0,,False,False,19.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,68.0,19.0,154.0,master,False,False,False,True,,,,,myriad,/projects/myriad.html,Retired Podlings,Incubator(Benjamin Hindman),Ted Dunning,2015-03-01,2020-01-24,https://github.com/apache/incubator-myriad,https://github.com/apache/incubator-myriad/pulls,,,,,,,,,,,,https://gitbox.apache.org/repos/asf?p=incubator-myriad.git,,,,,,,,,
0.0,51133768.0,MDEwOlJlcG9zaXRvcnk1MTEzMzc2OA==,apache,incubator-milagro,https://github.com/apache/incubator-milagro,2016-02-05T08:00:06Z,2024-07-09T18:20:10Z,2024-03-21T14:12:43Z,20672.0,42.0,HTML,True,True,True,False,False,False,13.0,,True,False,12.0,,True,False,False,13.0,12.0,42.0,master,False,False,False,True,,,,,milagro,/projects/milagro.html,Retired Podlings,Incubator(Nick Kew),"Nick Kew, Jean-Frederic Clere",2015-12-21,2024-03-21,https://github.com/apache/incubator-milagro,,,,,,,,,,,,,,,,,,,,,,
0.0,5212656.0,MDEwOlJlcG9zaXRvcnk1MjEyNjU2,apache,odftoolkit,https://github.com/apache/odftoolkit,2012-07-28T07:00:12Z,2024-12-31T08:53:40Z,2018-10-02T11:35:11Z,27599.0,36.0,Java,False,True,True,False,False,False,24.0,,True,False,3.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,24.0,3.0,36.0,trunk,False,False,False,True,,,,,odftoolkit,/projects/odftoolkit.html,Retired Podlings,Incubator,"Nick Burch, Tom Barber",2011-08-01,2018-11-27,https://github.com/tdf/odftoolkit,,,,,,,,,,,,,,,,,,,,,,
0.0,920238.0,MDEwOlJlcG9zaXRvcnk5MjAyMzg=,apache,npanday,https://github.com/apache/npanday,2010-09-18T07:00:08Z,2023-08-05T21:44:28Z,2023-09-26T18:18:33Z,29902.0,14.0,C#,False,True,True,False,False,False,14.0,,False,False,11.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,14.0,11.0,14.0,trunk,False,False,False,True,,,,,npanday,/projects/npanday.html,Retired Podlings,Incubator,"Raphael Bircher, Konstantin Boudnik",2010-08-13,2015-02-08,,,,,,,,,,,,,,,,,,,,,,,
0.0,18627126.0,MDEwOlJlcG9zaXRvcnkxODYyNzEyNg==,apache,archiva,https://github.com/apache/archiva,2014-04-10T07:00:07Z,2025-03-10T10:23:21Z,2023-09-04T22:48:04Z,62366.0,330.0,Java,False,True,True,True,False,False,117.0,,True,False,34.0,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,False,117.0,34.0,330.0,master,False,False,False,True,Apache Archiva (in the Attic),project.html?attic-archiva,https://github.com/apache/archiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
